,pause,play,completed,id,user_id
22,"{'timestamps': ['2025-02-13T16:50:40.763'], 'timestamp': DatetimeWithNanoseconds(2025, 2, 13, 21, 50, 40, 763000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-02-13T16:44:28.159', '2025-02-13T16:44:28.160', '2025-02-13T16:45:12.701', '2025-02-13T16:45:32.634', '2025-02-13T16:45:47.890', '2025-02-13T16:45:47.892', '2025-02-13T16:50:38.528', '2025-02-13T16:50:38.529'], 'timestamp': DatetimeWithNanoseconds(2025, 2, 13, 21, 50, 38, 529000, tzinfo=datetime.timezone.utc), 'count': 8}","{'timestamps': ['2025-02-13T16:45:10.266', '2025-02-13T16:45:29.027', '2025-02-13T16:45:40.979', '2025-02-13T16:45:53.320'], 'timestamp': DatetimeWithNanoseconds(2025, 2, 13, 21, 45, 53, 320000, tzinfo=datetime.timezone.utc), 'count': 4}",OBfJkZdaOwLbg7EkJSG0,3IRcQGL5WlTkWnWapZ7xashxcGw2
23,"{'timestamps': ['2025-02-13T16:50:28.498', '2025-02-13T16:50:35.480'], 'timestamp': DatetimeWithNanoseconds(2025, 2, 13, 21, 50, 35, 480000, tzinfo=datetime.timezone.utc), 'count': 2}","{'timestamps': ['2025-02-13T16:46:32.810', '2025-02-13T16:46:32.810', '2025-02-13T16:50:34.513', '2025-02-13T16:50:34.516', '2025-02-13T16:50:34.549'], 'timestamp': DatetimeWithNanoseconds(2025, 2, 13, 21, 50, 34, 549000, tzinfo=datetime.timezone.utc), 'count': 5}",,u4RqVguLSEXOsbb5BpRr,3IRcQGL5WlTkWnWapZ7xashxcGw2
24,"{'timestamps': ['2025-06-15T14:31:08.942997'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 15, 12, 31, 8, 941999, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-06-15T14:29:48.148642'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 15, 12, 29, 48, 148000, tzinfo=datetime.timezone.utc), 'count': 1}",,aKmSGmSSMPMMBqRLdly2,41vm5v796SY7TfDishJQW0r1JEa2
25,"{'timestamps': ['2025-06-20T21:43:12.190141'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 20, 12, 43, 12, 190000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2025-06-20T21:43:04.795194'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 20, 12, 43, 4, 795000, tzinfo=datetime.timezone.utc), 'count': 1}",,hgrdSG9b6BHq4tHX0QTO,4MeahVgtwSM8srtSSnDHA88yiJq1
26,,"{'timestamps': ['2025-06-15T16:54:38.567196'], 'timestamp': DatetimeWithNanoseconds(2025, 6, 15, 15, 54, 38, 566999, tzinfo=datetime.timezone.utc), 'count': 1}",,ki3XQb40nhO0YQDFnXn1,4Q7aSjLbuCOP2jNWdmLPH8w9fOH2
27,"{'timestamps': ['2025-05-16T11:26:13.621142', '2025-05-16T11:26:44.851664'], 'timestamp': DatetimeWithNanoseconds(2025, 5, 16, 10, 26, 44, 851000, tzinfo=datetime.timezone.utc), 'count': 2}","{'timestamps': ['2025-05-16T11:26:13.623809', '2025-05-16T11:26:21.010226'], 'timestamp': DatetimeWithNanoseconds(2025, 5, 16, 10, 26, 21, 9999, tzinfo=datetime.timezone.utc), 'count': 2}",,hklsAI2ub6jGJSsaog5x,4fKwwqGV5OP2eZG2SUawSfshff22
28,"{'timestamps': ['2025-04-23T23:33:51.203308', '2025-04-23T23:33:57.940163'], 'timestamp': DatetimeWithNanoseconds(2025, 4, 23, 20, 33, 57, 940000, tzinfo=datetime.timezone.utc), 'count': 2}","{'timestamps': ['2025-04-23T23:33:51.206748', '2025-04-23T23:33:55.664215'], 'timestamp': DatetimeWithNanoseconds(2025, 4, 23, 20, 33, 55, 664000, tzinfo=datetime.timezone.utc), 'count': 2}",,awJDipgEkT40rGGDf5ai,4uEQPLDYnXfF6EPrJesj76AHvsD2
29,"{'timestamps': ['2024-08-28T03:18:15.730533'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 28, 1, 18, 15, 730000, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-08-28T03:16:21.830747'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 28, 1, 16, 21, 829999, tzinfo=datetime.timezone.utc), 'count': 1}",,7DNnIirBB8dtsClNWHTY,52Or9zJTVSNuLzBB1TrZQ3eJLJC3
30,"{'timestamps': ['2024-08-15T14:26:27.846143', '2024-08-15T14:26:51.463880', '2024-08-15T14:26:58.986054', '2024-08-15T14:27:12.345764', '2024-08-15T14:27:18.519178', '2024-08-15T14:28:46.146886', '2024-08-15T14:29:54.366959', '2024-08-19T00:40:04.104788', '2024-08-19T00:40:14.007486', '2024-08-19T00:40:18.401627', '2024-08-19T00:40:38.902849', '2024-08-19T00:40:59.736819', '2024-08-19T00:41:13.175307', '2024-08-19T00:41:33.269869', '2024-08-19T00:41:46.672206', '2024-08-19T00:42:00.395127'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 18, 22, 42, 0, 394999, tzinfo=datetime.timezone.utc), 'count': 16}","{'timestamps': ['2024-08-19T00:40:57.580740', '2024-08-19T00:41:12.979995', '2024-08-19T00:41:32.188278', '2024-08-19T00:41:45.123376', '2024-08-19T00:41:57.623104'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 18, 22, 41, 57, 622999, tzinfo=datetime.timezone.utc), 'count': 5}",,NXzjrKGGvupPCXhphkFV,52Or9zJTVSNuLzBB1TrZQ3eJLJC3
31,"{'timestamps': ['2024-08-28T03:15:34.613440'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 28, 1, 15, 34, 612999, tzinfo=datetime.timezone.utc), 'count': 1}","{'timestamps': ['2024-08-28T03:14:40.711267'], 'timestamp': DatetimeWithNanoseconds(2024, 8, 28, 1, 14, 40, 710999, tzinfo=datetime.timezone.utc), 'count': 1}",,zPhINdyl55ed1TzdEJrC,52Or9zJTVSNuLzBB1TrZQ3eJLJC3
